"Country","Year","Monday Beta","Monday P-value","Friday Beta","Friday P-value","January Beta","January P-value","April Beta","April P-value","December Beta","December P-value","Halloween Beta","Halloween P-value","CES A","CES B","CES C"
"Argentina",1992,-0.358418480311758,0.524290647392091,0.487955051828728,0.386177580079186,0.551113687354884,0.473154648874025,1.08744387487786,0.175664856881427,1.55416448183369,0.0533943944236333,0.692409135200886,0.109024410999985,0,0,0
"Argentina",1993,-0.843717432692732,0.0078524930034868,-0.181222842356547,0.56537251777764,-0.0663033125485258,0.884063688989915,-0.377719080935422,0.406453443661084,0.840471793114488,0.0597152773790374,-0.143846401015076,0.557047745433821,1,0.843717432692732,0.140619572115455
"Argentina",1994,-0.581122529802755,0.0911590430293277,-0.0777662302533235,0.817906487795852,0.889574452409329,0.0623506889429215,0.00909917101560894,0.985068612988459,-0.532221130982875,0.274251063274214,-0.26880127694309,0.305766082233515,0,0,0
"Argentina",1995,-0.214476495941773,0.666131886867153,0.511766082325122,0.295988389826394,-0.288605308986166,0.668638674572699,0.106970853885756,0.884808734391744,0.49481489625923,0.502945566910573,0.037981495503952,0.919813405059318,0,0,0
"Argentina",1996,-0.0327513630622438,0.898266728098598,0.295932207448522,0.241538483246551,0.379868014042205,0.279257554820862,0.535874979605476,0.144068705030893,0.263035051849848,0.472626327061358,0.167217510327341,0.394882145883509,0,0,0
"Argentina",1997,-0.275334428828537,0.417825294368281,-0.145756480384879,0.660650866794156,0.334244949446944,0.470519772025215,0.147005208148973,0.750849495381366,0.27943615244831,0.563182476207455,0.190830405355939,0.461237587265363,0,0,0
"Argentina",1998,0.110703273668176,0.816777922254268,0.504432296249054,0.283998606162123,-0.438863626859366,0.506528456659056,0.0335555507041292,0.960356047872695,-0.528012593704357,0.434407632833088,0.305241408761497,0.400944295158038,0,0,0
"Argentina",1999,0.0997068657672831,0.788927164828924,0.594660875457776,0.108477446085473,-0.764052184959009,0.144208201686514,1.43613752635244,0.00633438218051392,0.08831835990119,0.86271036542125,0.268441466863844,0.346967334652357,1,1.43613752635244,0.239356254392073
"Argentina",2000,-0.13887139845684,0.652779425962266,-0.111497295205689,0.711328517448991,0.25882198202098,0.539032514905646,-0.491865151619753,0.276784196956925,0.359237268031918,0.426750912418213,0.00436940770297466,0.985005557537972,0,0,0
"Argentina",2001,-0.0140110235013529,0.979130438800782,-0.306947150146812,0.554036320951792,1.62123017446209,0.0188416069919047,0.401462196748683,0.593287719407128,3.02350427051177,0.000263817881482202,0.798567899279135,0.0469650410194591,3,1.814434114751,0.907217057375499
"Argentina",2002,-0.508503063710451,0.355632395970404,0.127361122353715,0.809447246276251,2.70137201773566,0.00203364537245505,-0.866129626004505,0.288293759321523,0.121072774908491,0.866451722918616,0.336213115296137,0.420122373730511,1,2.70137201773566,0.45022866962261
